grade,element,analysis,min,max,unit,source_file,anchor,snippet
F12CL1,P,Heat,,45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F12CL1#Element=P,45
F12CL2,C,Heat,,40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F12CL2#Element=C,40 [275]
F12CL2,Mn,Heat,,20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F12CL2#Element=Mn,20
F12CL2,P,Heat,,45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-182_SA-182M.md,Table1#Grade=F12CL2#Element=P,45
SA-234-WPB,C,Heat,,0.35,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=C,0.35
SA-234-WPB,Mn,Heat,0.29,1.06,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=Mn,0.29–1.06
SA-234-WPB,P,Heat,,0.050,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=P,0.050
SA-234-WPB,S,Heat,,0.058,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=S,0.058
SA-234-WPB,Si,Heat,0.10,,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=Si,0.10 min
SA-234-WPB,Cr,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=Cr,0.40
SA-234-WPB,Mo,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=Mo,0.15 max
SA-234-WPB,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPB#Element=Ni,0.40
SA-234-WPC,C,Heat,,0.35,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=C,0.35
SA-234-WPC,Mn,Heat,0.29,1.06,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=Mn,0.29–1.06
SA-234-WPC,P,Heat,,0.050,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=P,0.050
SA-234-WPC,S,Heat,,0.058,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=S,0.058
SA-234-WPC,Si,Heat,0.10,,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=Si,0.10 min
SA-234-WPC,Cr,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=Cr,0.40
SA-234-WPC,Mo,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=Mo,0.15 max
SA-234-WPC,Ni,Heat,,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WPC#Element=Ni,0.40
WP1,C,Heat,,0.28,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP1#Element=C,0.28
WP1,Mn,Heat,0.30,0.80,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP1#Element=Mn,0.30–0.80
WP1,P,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP1#Element=P,0.045
WP1,S,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP1#Element=S,0.045
WP1,Si,Heat,,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP1#Element=Si,0.60
WP1,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP1#Element=Mo,0.44–0.65
WP12CL1,C,Heat,0.05,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=C,0.05–0.20
WP12CL1,Mn,Heat,0.30,0.80,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=Mn,0.30–0.80
WP12CL1,P,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=P,0.045
WP12CL1,S,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=S,0.045
WP12CL1,Si,Heat,,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=Si,0.60
WP12CL1,Cr,Heat,0.60,1.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=Cr,0.60–1.25
WP12CL1,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL1#Element=Mo,0.44–0.65
WP12CL2,C,Heat,0.05,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=C,0.05–0.20
WP12CL2,Mn,Heat,0.30,0.80,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=Mn,0.30–0.80
WP12CL2,P,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=P,0.045
WP12CL2,S,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=S,0.045
WP12CL2,Si,Heat,,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=Si,0.60
WP12CL2,Cr,Heat,0.60,1.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=Cr,0.60–1.25
WP12CL2,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP12CL2#Element=Mo,0.44–0.65
SA-234-WP11,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=C,0.05–0.15
SA-234-WP11,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=Mn,0.30–0.60
SA-234-WP11,P,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=P,0.030
SA-234-WP11,S,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=S,0.030
SA-234-WP11,Si,Heat,0.50,1.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=Si,0.50–1.00
SA-234-WP11,Cr,Heat,1.00,1.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=Cr,1.00–1.50
SA-234-WP11,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL1#Element=Mo,0.44–0.65
WP11CL2,C,Heat,0.05,0.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=C,0.05–0.20
WP11CL2,Mn,Heat,0.30,0.80,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=Mn,0.30–0.80
WP11CL2,P,Heat,,0.040,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=P,0.040
WP11CL2,S,Heat,,0.040,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=S,0.040
WP11CL2,Si,Heat,0.50,1.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=Si,0.50–1.00
WP11CL2,Cr,Heat,1.00,1.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=Cr,1.00–1.50
WP11CL2,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL2#Element=Mo,0.44–0.65
WP11CL3,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=C,0.05–0.15
WP11CL3,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=Mn,0.30–0.60
WP11CL3,P,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=P,0.045
WP11CL3,S,Heat,,0.045,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=S,0.045
WP11CL3,Si,Heat,0.50,1.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=Si,0.50–1.00
WP11CL3,Cr,Heat,1.00,1.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=Cr,1.00–1.50
WP11CL3,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP11CL3#Element=Mo,0.44–0.65
SA-234-WP22,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-234_SA-234M.md,Table1#Grade=WP22CL1#Element=Mn,0.30–0.60
