grade,element,analysis,min,max,unit,source_file,anchor,snippet
P5c,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=P,0.025
P5c,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=S,0.025
P5c,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=Si,0.50 max
P5c,Cr,Heat,4.00,6.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=Cr,4.00–6.00
P5c,Mo,Heat,0.45,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P5c#Element=Mo,0.45–0.65
P9,C,Heat,,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=C,0.15 max
P9,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=Mn,0.30–0.60
P9,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=P,0.025
P9,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=S,0.025
P9,Si,Heat,0.25,1.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=Si,0.25–1.00
P9,Cr,Heat,8.00,10.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=Cr,8.00–10.00
P9,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P9#Element=Mo,0.90–1.10
SA-335-P11,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=C,0.05–0.15
SA-335-P11,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=Mn,0.30–0.60
SA-335-P11,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=P,0.025
SA-335-P11,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=S,0.025
SA-335-P11,Si,Heat,0.50,1.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=Si,0.50–1.00
SA-335-P11,Cr,Heat,1.00,1.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=Cr,1.00–1.50
SA-335-P11,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P11#Element=Mo,0.44–0.65
P12,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=C,0.05–0.15
P12,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=Mn,0.30–0.60
P12,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=P,0.025
P12,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=S,0.025
P12,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=Si,0.50 max
P12,Cr,Heat,0.80,1.25,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=Cr,0.80–1.25
P12,Mo,Heat,0.44,0.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P12#Element=Mo,0.44–0.65
P15,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P15#Element=C,0.05–0.15
P15,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P15#Element=Mn,0.30–0.60
P15,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P15#Element=P,0.025
P15,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P15#Element=S,0.025
P15,Si,Heat,1.15,1.65,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P15#Element=Si,1.15–1.65
P21,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=C,0.05–0.15
P21,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=Mn,0.30–0.60
P21,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=P,0.025
P21,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=S,0.025
P21,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=Si,0.50 max
P21,Cr,Heat,2.65,3.35,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=Cr,2.65–3.35
P21,Mo,Heat,0.80,1.06,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P21#Element=Mo,0.80–1.06
SA-335-P22,C,Heat,0.05,0.15,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=C,0.05–0.15
SA-335-P22,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=Mn,0.30–0.60
SA-335-P22,P,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=P,0.025
SA-335-P22,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=S,0.025
SA-335-P22,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=Si,0.50 max
SA-335-P22,Cr,Heat,1.90,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=Cr,1.90–2.60
SA-335-P22,Mo,Heat,0.87,1.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P22#Element=Mo,0.87–1.13
P23,C,Heat,0.04,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=C,0.04–0.10
P23,Mn,Heat,0.10,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=Mn,0.10–0.60
P23,P,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=P,0.030 max
P23,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=S,0.010 max
P23,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=Si,0.50 max
P23,Cr,Heat,1.90,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=Cr,1.90–2.60
P23,Mo,Heat,0.05,0.30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P23#Element=Mo,0.05–0.30
P24,C,Heat,0.05,0.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=C,0.05–0.10
P24,Mn,Heat,0.30,0.70,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=Mn,0.30–0.70
P24,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=P,0.020
P24,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=S,0.010
P24,Si,Heat,0.15,0.45,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=Si,0.15–0.45
P24,Cr,Heat,2.20,2.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=Cr,2.20–2.60
P24,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P24#Element=Mo,0.90–1.10
P36,C,Heat,0.10,0.17,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=C,0.10–0.17
P36,Mn,Heat,0.80,1.20,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=Mn,0.80–1.20
P36,P,Heat,,0.030,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=P,0.030 max
P36,S,Heat,,0.025,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=S,0.025 max
P36,Si,Heat,0.25,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=Si,0.25–0.50
P36,Cr,Heat,,0.30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=Cr,0.30 max
P36,Mo,Heat,0.25,0.30,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P36#Element=Mo,0.25–0.30
SA-335-P91,C,Heat,0.08,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=C,0.08–0.12
SA-335-P91,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mn,0.30–0.60
SA-335-P91,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=P,0.020
SA-335-P91,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=S,0.010
SA-335-P91,Si,Heat,0.20,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Si,0.20–0.50
SA-335-P91,Cr,Heat,8.00,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Cr,8.00–9.50
SA-335-P91,Mo,Heat,0.85,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mo,0.85–1.05
SA-335-P91,C,Heat,0.08,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=C,0.08–0.12 0.07–0.13
SA-335-P91,Mn,Heat,0.30,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mn,0.30–0.50ᵈ
SA-335-P91,Si,Heat,0.20,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Si,0.20–0.40ᵈ
SA-335-P91,Cr,Heat,9.00,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Cr,9.00–9.50ᵈ
SA-335-P91,Mo,Heat,0.85,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mo,0.85–1.05ᵈ 0.85–1.00
SA-335-P92,C,Heat,0.07,0.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=C,0.07–0.13
SA-335-P92,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Mn,0.30–0.60
SA-335-P92,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=P,0.020
SA-335-P92,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=S,0.010
SA-335-P92,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Si,0.50 max
SA-335-P92,Cr,Heat,8.50,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Cr,8.50–9.50
SA-335-P92,Mo,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Mo,0.30–0.60
P122,C,Heat,0.07,0.14,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=C,0.07–0.14
P122,Mn,Heat,,0.70,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=Mn,0.70 max
P122,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=P,0.020
P122,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=S,0.010
P122,Si,Heat,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=Si,0.50 max
P122,Cr,Heat,10.00,11.00,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=Cr,10.00–11.00
P122,Mo,Heat,0.25,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P122#Element=Mo,0.25–0.60
P911,C,Heat,0.09,0.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=C,0.09–0.13
P911,Mn,Heat,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=Mn,0.30–0.60
P911,P,Heat,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=P,0.020 max
P911,S,Heat,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=S,0.010 max
P911,Si,Heat,0.10,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=Si,0.10–0.50
P911,Cr,Heat,8.5,9.5,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=Cr,8.5–9.5
P911,Mo,Heat,0.90,1.10,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P911#Element=Mo,0.90–1.10
SA-335-P91,C,Product,0.08,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=C,0.08–0.12
SA-335-P91,Mn,Product,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mn,0.30–0.60
SA-335-P91,P,Product,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=P,0.020
SA-335-P91,S,Product,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=S,0.010
SA-335-P91,Si,Product,0.20,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Si,0.20–0.50
SA-335-P91,Cr,Product,8.00,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Cr,8.00–9.50
SA-335-P91,Mo,Product,0.85,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mo,0.85–1.05
SA-335-P91,C,Product,0.08,0.12,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=C,0.08–0.12 0.07–0.13
SA-335-P91,Mn,Product,0.30,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mn,0.30–0.50ᵈ
SA-335-P91,Si,Product,0.20,0.40,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Si,0.20–0.40ᵈ
SA-335-P91,Cr,Product,9.00,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Cr,9.00–9.50ᵈ
SA-335-P91,Mo,Product,0.85,1.05,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P91#Element=Mo,0.85–1.05ᵈ 0.85–1.00
SA-335-P92,C,Product,0.07,0.13,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=C,0.07–0.13
SA-335-P92,Mn,Product,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Mn,0.30–0.60
SA-335-P92,P,Product,,0.020,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=P,0.020
SA-335-P92,S,Product,,0.010,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=S,0.010
SA-335-P92,Si,Product,,0.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Si,0.50 max
SA-335-P92,Cr,Product,8.50,9.50,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Cr,8.50–9.50
SA-335-P92,Mo,Product,0.30,0.60,%,ref_code/output_sec2_pta_1of2/ASME_SEC_II_PTA_1of2_2023/SA-335_SA-335M.md,Table1#Grade=P92#Element=Mo,0.30–0.60
